2023-04-15 10:42:44.202 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-15 10:42:44.424 [restartedMain] INFO  com.vivid.dream.DreamApplication - Starting DreamApplication using Java 17.0.1 with PID 1527 (/Users/geumbit/sideproject/dream/build/classes/java/main started by geumbit in /Users/geumbit/sideproject/dream)
2023-04-15 10:42:44.429 [restartedMain] INFO  com.vivid.dream.DreamApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-15 10:42:44.552 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-15 10:42:44.553 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-15 10:42:46.275 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-15 10:42:46.279 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-15 10:42:46.353 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42 ms. Found 0 Redis repository interfaces.
2023-04-15 10:42:46.582 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'songMapper' and 'com.vivid.dream.mapper.SongMapper' mapperInterface. Bean already defined with the same name!
2023-04-15 10:42:46.583 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.vivid.dream.mapper]' package. Please check your configuration.
2023-04-15 10:42:48.002 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-15 10:42:48.025 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-15 10:42:48.027 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-15 10:42:48.028 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.1]
2023-04-15 10:42:48.140 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-15 10:42:48.145 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3591 ms
2023-04-15 10:42:50.540 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-04-15 10:42:50.596 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-15 10:42:50.618 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-15 10:42:50.648 [restartedMain] INFO  com.vivid.dream.DreamApplication - Started DreamApplication in 7.463 seconds (process running for 9.45)
